Timestamp,Date and Time,MAX,MIN,GUESS
1534204800,2018-08-14T00:00:00,104.561,22.2996,51.8064
1534291200,2018-08-15T00:00:00,98.2951,22.6127,51.7277
1534377600,2018-08-16T00:00:00,93.7692,23.0198,52.1504
1534464000,2018-08-17T00:00:00,85.6683,22.7686,51.0093
1534550400,2018-08-18T00:00:00,85.2781,22.6649,50.7769
1534636800,2018-08-19T00:00:00,84.4826,22.4535,50.3033
1534723200,2018-08-20T00:00:00,84.4826,22.4535,50.3033
1534809600,2018-08-21T00:00:00,85.4372,22.7072,50.8717
1534896000,2018-08-22T00:00:00,85.3576,22.686,50.8243
1534982400,2018-08-23T00:00:00,84.6417,22.4957,50.398
1535068800,2018-08-24T00:00:00,84.3747,22.4248,50.239
1535155200,2018-08-25T00:00:00,82.9539,22.0472,49.3931
1535241600,2018-08-26T00:00:00,85.9092,22.8326,51.1527
1535328000,2018-08-27T00:00:00,89.4718,23.7795,53.274
1535414400,2018-08-28T00:00:00,90.5132,24.0563,53.8941
1535500800,2018-08-29T00:00:00,89.4275,23.7677,53.2476
1535587200,2018-08-30T00:00:00,90.4731,24.0456,53.8702
1535673600,2018-08-31T00:00:00,91.6308,24.3533,54.5595
1535760000,2018-09-01T00:00:00,92.9709,24.7095,55.3575
1535846400,2018-09-02T00:00:00,90.542,24.0639,53.6549
1535932800,2018-09-03T00:00:00,87.1079,23.1512,51.3539
1536019200,2018-09-04T00:00:00,84.8464,22.5502,49.7832
1536105600,2018-09-05T00:00:00,84.2601,22.3943,49.1992
1536192000,2018-09-06T00:00:00,83.9251,22.3053,48.7328
1536278400,2018-09-07T00:00:00,84.1355,22.3612,48.5778
1536364800,2018-09-08T00:00:00,84.597,22.4839,48.5741
1536451200,2018-09-09T00:00:00,86.781,23.0643,49.828
1536537600,2018-09-10T00:00:00,86.5179,22.9944,49.677
1536624000,2018-09-11T00:00:00,88.2868,23.4645,50.6927
1536710400,2018-09-12T00:00:00,91.9128,24.4282,52.7747
1536796800,2018-09-13T00:00:00,92.2833,24.5267,52.9874
1536883200,2018-09-14T00:00:00,90.6264,24.0863,52.036
1536969600,2018-09-15T00:00:00,89.7524,23.8541,51.5342
1537056000,2018-09-16T00:00:00,87.655,23.2966,50.3299
1537142400,2018-09-17T00:00:00,87.655,23.2966,50.3299
1537228800,2018-09-18T00:00:00,87.7424,23.3198,50.3801
1537315200,2018-09-19T00:00:00,86.6937,23.0411,49.7779
1537401600,2018-09-20T00:00:00,87.2413,23.1867,50.0923
1537488000,2018-09-21T00:00:00,88.5292,23.529,50.8319
1537574400,2018-09-22T00:00:00,90.0976,23.9458,51.7324
1537660800,2018-09-23T00:00:00,91.3082,24.2675,52.4275
1537747200,2018-09-24T00:00:00,92.6901,24.6348,53.221
1537833600,2018-09-25T00:00:00,95.3305,25.3366,54.737
1537920000,2018-09-26T00:00:00,94.0758,25.0031,54.0166
1538006400,2018-09-27T00:00:00,93.3288,24.8046,53.5876
1538092800,2018-09-28T00:00:00,94.2193,25.0412,54.099
1538179200,2018-09-29T00:00:00,93.9521,24.9702,53.9456
1538265600,2018-09-30T00:00:00,95.1098,25.2779,54.6103
1538352000,2018-10-01T00:00:00,96.0004,25.5146,55.1216
1538438400,2018-10-02T00:00:00,93.1507,24.2871,53.1376
1538524800,2018-10-03T00:00:00,93.685,23.9316,53.0764
1538611200,2018-10-04T00:00:00,94.7036,23.6724,53.2693
1538697600,2018-10-05T00:00:00,93.0556,22.7695,51.9792
1538784000,2018-10-06T00:00:00,91.1217,21.8084,50.5381
1538870400,2018-10-07T00:00:00,89.7861,20.9456,49.3955
1538956800,2018-10-08T00:00:00,88.246,20.0535,48.1541
1539043200,2018-10-09T00:00:00,88.112,20.0231,48.081
1539129600,2018-10-10T00:00:00,88.565,20.126,48.3282
1539216000,2018-10-11T00:00:00,89.5697,20.3543,48.8764
1539302400,2018-10-12T00:00:00,89.7554,20.3965,48.9777
1539388800,2018-10-13T00:00:00,91.2405,20.734,49.7881
1539475200,2018-10-14T00:00:00,88.6416,20.1434,48.37
1539561600,2018-10-15T00:00:00,91.1477,20.7129,49.7375
1539648000,2018-10-16T00:00:00,91.6118,20.8184,49.9907
1539734400,2018-10-17T00:00:00,91.0548,20.6918,49.6868
1539820800,2018-10-18T00:00:00,89.0582,20.2381,48.5973
1539907200,2018-10-19T00:00:00,89.5053,20.3397,48.8413
1539993600,2018-10-20T00:00:00,89.2065,20.2718,48.6782
1540080000,2018-10-21T00:00:00,90.9666,20.6717,49.6387
1540166400,2018-10-22T00:00:00,89.7917,20.4048,48.9976
1540252800,2018-10-23T00:00:00,91.0335,20.6869,49.6752
1540339200,2018-10-24T00:00:00,88.3302,20.0726,48.2001
1540425600,2018-10-25T00:00:00,87.8206,19.9568,47.922
1540512000,2018-10-26T00:00:00,87.9101,19.9772,47.9708
1540598400,2018-10-27T00:00:00,87.2841,19.8349,47.6292
1540684800,2018-10-28T00:00:00,87.4629,19.8756,47.7268
1540771200,2018-10-29T00:00:00,86.6581,19.6926,47.2876
1540857600,2018-10-30T00:00:00,86.6581,19.6926,47.2876
1540944000,2018-10-31T00:00:00,91.1296,20.7088,49.7276
